Start,End,Sif,SrcIPaddress,SrcP,DIf,DstIPaddress,DstP,P,Fl,Pkts,Octets
0416.05:21:22.661,0416.05:21:22.682,0,192.168.0.107,29235,0,68.105.29.11,53,17,0,1,72
0416.05:21:22.739,0416.05:21:22.839,0,192.168.0.107,41000,0,18.155.173.40,443,6,3,12,1467
0416.05:21:22.739,0416.05:21:22.835,0,192.168.0.107,41002,0,18.155.173.40,443,6,3,12,1467
0416.05:21:22.875,0416.05:21:22.889,0,192.168.0.107,22456,0,68.105.29.11,53,17,0,1,73
0416.05:21:22.875,0416.05:21:22.889,0,192.168.0.107,19682,0,68.105.29.11,53,17,0,1,73
0416.05:21:22.900,0416.05:21:22.986,0,192.168.0.107,41476,0,18.155.173.46,443,6,3,11,1102
0416.05:21:23.148,0416.05:21:23.178,0,192.168.0.107,21398,0,68.105.29.11,53,17,0,1,80
0416.05:21:23.148,0416.05:21:23.164,0,192.168.0.107,12360,0,68.105.29.11,53,17,0,1,80
0416.05:21:23.195,0416.05:21:23.214,0,192.168.0.107,50078,0,68.105.29.11,53,17,0,1,80
0416.05:21:23.195,0416.05:21:23.217,0,192.168.0.107,12622,0,68.105.29.11,53,17,0,1,80
0416.05:21:23.208,0416.05:21:23.230,0,192.168.0.107,20853,0,68.105.29.11,53,17,0,1,62
0416.05:21:23.208,0416.05:21:23.230,0,192.168.0.107,38404,0,68.105.29.11,53,17,0,1,62
0416.05:21:24.254,0416.05:21:24.284,0,192.168.0.107,38160,0,68.105.28.11,53,17,0,1,60
0416.05:21:24.254,0416.05:21:24.278,0,192.168.0.107,38160,0,68.105.29.11,53,17,0,1,60
0416.05:21:24.254,0416.05:21:24.278,0,192.168.0.107,38160,0,68.105.28.12,53,17,0,1,60
0416.05:21:24.254,0416.05:21:24.278,0,192.168.0.107,37203,0,68.105.29.11,53,17,0,1,60
0416.05:21:24.943,0416.05:21:24.959,0,192.168.0.107,39919,0,68.105.29.11,53,17,0,1,57
0416.05:21:24.944,0416.05:21:24.959,0,192.168.0.107,38424,0,68.105.29.11,53,17,0,1,57
0416.05:21:24.960,0416.05:21:25.049,0,192.168.0.107,50200,0,18.238.85.54,443,6,3,12,1467
0416.05:21:28.056,0416.05:21:28.095,0,192.168.0.107,52915,0,68.105.29.11,53,17,0,1,53
0416.05:21:28.056,0416.05:21:28.077,0,192.168.0.107,30763,0,68.105.29.11,53,17,0,1,53
0416.05:21:28.346,0416.05:21:28.400,0,192.168.0.107,33800,0,151.101.131.5,80,6,3,6,633
0416.05:21:28.420,0416.05:21:28.438,0,192.168.0.107,46189,0,68.105.29.11,53,17,0,1,57
0416.05:21:28.420,0416.05:21:28.438,0,192.168.0.107,24477,0,68.105.29.11,53,17,0,1,57
0416.05:21:28.692,0416.05:21:28.750,0,192.168.0.107,58944,0,199.232.155.5,80,6,3,5,697
0416.05:21:29.194,0416.05:21:29.210,0,192.168.0.107,16686,0,68.105.29.11,53,17,0,1,59
0416.05:21:29.194,0416.05:21:29.211,0,192.168.0.107,29781,0,68.105.29.11,53,17,0,1,59
0416.05:21:29.223,0416.05:21:29.234,0,192.168.0.107,33206,0,68.105.29.11,53,17,0,1,66
0416.05:21:29.223,0416.05:21:29.248,0,192.168.0.107,64966,0,68.105.29.11,53,17,0,1,66
